Estacao	Data	Hora	TempBulboSeco	TempBulboUmido	UmidadeRelativa	PressaoAtmEstacao	DirecaoVento	VelocidadeVento	Nebulosidade
83513	01/02/1993	1800	34.3	30.5	75	sv	36	1	4
83513	02/02/1993	0	22.6	22.5	99	sv	36	1	10
83513	02/02/1993	1200	25.4	24.5	93	sv	18	1	4
83513	02/02/1993	1800	28.3	27.3	92	sv	18	3	10
83513	03/02/1993	0	25.6	25.1	96	sv	0	0	4
83513	03/02/1993	1200	27.8	26.7	91	sv	0	0	4
83513	03/02/1993	1800	30.3	27.7	81	sv	36	1	10
83513	04/02/1993	0	24.6	23.3	89	sv	0	0	10
83513	04/02/1993	1200	26.4	25.3	91	sv	0	0	4
83513	04/02/1993	1800	28.1	26.3	86	sv	5	2	10
83513	05/02/1993	0	26.4	25.5	93	sv	0	0	0
83513	05/02/1993	1200	26.2	25.3	93	sv	36	2	4
83513	05/02/1993	1800	31.5	28.5	79	sv	36	1	6
83513	06/02/1993	0	27.8	26.3	88	sv	36	2	8
83513	06/02/1993	1200	26.6	25.3	90	sv	36	2	2
83513	06/02/1993	1800	28.3	26.7	88	sv	36	2	8
83513	07/02/1993	0	25.8	25.1	94	sv	36	4	10
83513	07/02/1993	1200	26.6	25.3	90	sv	36	2	4
83513	07/02/1993	1800	24.8	24.1	94	sv	36	2	10
83513	08/02/1993	0	23.4	23.1	97	sv	0	0	10
83513	08/02/1993	1200	24.5	24.1	97	sv	18	3	10
83513	08/02/1993	1800	24.5	22.3	82	sv	18	2	10
83513	09/02/1993	0	23	21.7	89	sv	14	2	10
83513	09/02/1993	1200	22.2	20.3	83	sv	14	2	10
83513	09/02/1993	1800	26.2	23.3	77	sv	18	1	10
83513	10/02/1993	0	25	23.3	86	sv	0	0	0
83513	10/02/1993	1200	23.6	22.1	87	sv	0	0	2
83513	10/02/1993	1800	30.1	26.3	73	sv	32	1	2
83513	11/02/1993	0	26.4	25.5	93	sv	0	0	0
83513	11/02/1993	1200	25.6	24.3	89	sv	0	0	2
83513	11/02/1993	1800	31.9	28.7	78	sv	32	1	4
83513	12/02/1993	0	28.5	27.5	92	sv	0	0	0
83513	12/02/1993	1200	28.2	26.3	85	sv	32	1	2
83513	12/02/1993	1800	33.3	29.9	77	sv	32	1	4
83513	13/02/1993	0	27.8	26.5	90	sv	0	0	0
83513	13/02/1993	1200	27.8	27.1	94	sv	36	1	10
83513	13/02/1993	1800	25.2	24.1	91	sv	14	1	10
83513	14/02/1993	0	27.6	27.1	96	sv	14	2	10
83513	14/02/1993	1200	24.2	23.5	94	sv	14	1	10
83513	14/02/1993	1800	29.1	26.3	79	sv	14	2	8
83513	15/02/1993	0	25.6	25.1	96	sv	0	0	2
83513	15/02/1993	1200	26.2	24.1	83	sv	14	1	2
83513	15/02/1993	1800	31.3	26.9	70	sv	14	2	2
83513	16/02/1993	0	26.2	25.1	91	sv	0	0	0
83513	16/02/1993	1200	26.4	24.3	83	sv	14	2	0
83513	16/02/1993	1800	32.3	27.1	65	sv	18	2	6
83513	17/02/1993	0	26.2	25.1	91	sv	0	0	0
83513	17/02/1993	1200	26.6	24.7	85	sv	14	1	0
83513	17/02/1993	1800	33.1	26.7	59	sv	14	1	2
83513	18/02/1993	0	27.2	26.3	93	sv	0	0	0
83513	18/02/1993	1200	27	25.5	88	sv	36	1	2
83513	18/02/1993	1800	32.7	28.5	72	sv	0	0	8
83513	19/02/1993	0	27.4	26.3	91	sv	0	0	2
83513	19/02/1993	1200	25.4	24.1	89	sv	36	2	2
83513	19/02/1993	1800	31.1	27.1	72	sv	0	0	8
83513	20/02/1993	0	24.2	23.1	91	sv	0	0	2
83513	20/02/1993	1200	24.4	23.1	89	sv	9	2	8
83513	20/02/1993	1800	29.9	26.3	74	sv	9	1	6
83513	21/02/1993	0	26.2	24.9	89	sv	36	1	10
83513	21/02/1993	1200	28.2	27.5	95	sv	0	0	6
83513	21/02/1993	1800	28.7	25.7	78	sv	5	2	10
83513	22/02/1993	0	27.2	26.1	91	sv	18	4	10
83513	22/02/1993	1200	24.8	23.3	88	sv	18	2	4
83513	22/02/1993	1800	28.2	25.1	77	sv	18	2	8
83513	23/02/1993	0	24.2	23.3	92	sv	0	0	0
83513	23/02/1993	1200	24.4	23.3	91	sv	18	1	4
